Sample.ID,Chinook.c.ul,Chinook.c.uL.lower,Chinook.c.uL.upper,Chinook.c.well,Chinook.c.well.lower,Chinook.c.well.upper,C.shasta.c.uL,C.shasta.c.uL.lower,C.shasta.c.uL.upper,C.shasta.c.well,C.shasta.c.well.lower,C.shasta.c.well.upper,Accepted Droplets
TOH_G_14,1.86,1.2,2.73,37.1,24,54.6,1206.53,1181.27,1232.36,24130.7,23625.4,24647.2,14579
TOH_G_15,3.31,2.36,4.48,66.1,47.2,89.6,670.75,653.51,688.25,13415,13070.2,13765,13545
TOH_G_16,4.39,3.35,5.62,87.8,67,112.4,782,764,800,15636,15280,16000,15570
TOH_G_17,6.32,5,7.86,126,100,157.2,1198,1173,1224,23966,23460,24480,14184
TOH_G_18,7.2,5.7,8.95,144,114,179,1837,1798,1878,36746,35960,37560,12451
TOH_G_19,4.67,3.55,6.01,93.4,71,120.2,748,730,766,14957,14600,15320,14134
TOH_GB_01,3,2.21,3.96,60,44.2,79.2,178,172,185,3569,3440,3700,18053
TOH_GB_02,1.9,1.21,2.81,38,24.2,56.2,219,210,228,4386,4200,4560,13637
TOH_GB_03,6.74,5.44,8.24,135,108.8,164.8,313,303,323,6255,6060,6460,15747
TOH_P_03,4.26,3.22,5.51,85.3,64.4,110.2,178,171,186,3566,3420,3720,14924
TOH_P_04,5.23,3.96,6.74,105,79.2,134.8,281,270,292,5618,5400,5840,12411
TOH_P_05,2.84,1.97,3.92,56.7,39.4,78.4,364,352,376,7281,7040,7520,13710
TOH_P_06,3.3,2.36,4.45,65.9,47.2,89,218,209,227,4353,4180,4540,13942
TOH_P_07,2.76,2,3.69,55.2,40,73.8,204,196,211,4076,3920,4220,17510
TOH_P_08,1.12,0.654,1.76,22.4,13.08,35.2,51.8,48.1,55.6,1037,962,1112,16846
TOH_P_09,5.85,4.64,7.26,117,92.8,145.2,504,491,518,10089,9820,10360,15523
TOH_P_10,4.58,3.53,5.82,91.6,70.6,116.4,467,454,480,9336,9080,9600,15954
TOH_P_11,4.39,3.33,5.64,87.8,66.6,112.8,445,432,458,8901,8640,9160,15043
TOH_P_12,0.475,0.186,0.971,9.5,3.72,19.42,83.3,78.2,88.4,1665,1564,1768,14869
TOH_P_13,6.41,5.07,7.99,128,101.4,159.8,877,856,897,17533,17120,17940,13793
TOH_P_14,3.11,2.22,4.21,62.1,44.4,84.2,568,553,583,11357,11060,11660,14412
TOH_P_15,1.04,0.598,1.67,20.9,11.96,33.4,163,156,169,3251,3120,3380,16930
TOH_P_16,4.45,3.37,5.74,89,67.4,114.8,586,571,602,11724,11420,12040,14569
TOH_P_17,3.18,2.31,4.25,63.7,46.2,85,840,821,859,16802,16420,17180,15542
